"Texte","id"
"from weston t subject graphical representation of vector valued functions organization sdsu computing services lines nntp posting host ucssun sdsu edu gnuplot etc make it easy to plot real valued functions of variables but i want to plot functions whose values are vectors i have been doing this by plotting arrays of arrows complete with arrowheads but before going further i thought i would ask whether someone has already done the work any pointers thanx in advance tom weston usenet department of philosophy office san diego state univ home san diego ca",64
"from daniel kennett subject pov having trouble bump mapping a gif to a sphere summary having trouble bump mapping a gif to a spher in povray keywords bump map organization simon fraser university burnaby b c canada lines hello i ve been trying to bump map a gif onto a sphere for a while and i can t seem to get it to work image mapping works but not bump mapping here s a simple file i was working with could some kind soul tell me whats wrong with this include colors inc include shapes inc include textures inc camera location direction up right look_at object light_source color white object sphere texture bump_map gif surf gif note surf gif is a plasma fractal from fractint that is using the landscape palette map thanks in advance daniel daniel kennett our minds are finite and yet even in those circumstances of finitude we are surrounded by possibilities that are infinite and the purpose of human life is to grasp as much as we can out of that infinitude alfred north whitehead",65
"from paul johnson subject re sore throat reply to paul johnson organization gec marconi research centre great baddow uk lines in article fiberman writes i have had a sore throat for almost a week when i look into the mirror with the aid of a flash light i see white plaques in the very back of my throat on the sides i went to a health center to have a throat culture taken they said that i do not have strep throat could a viral infection cause white plaques on the sides of my throat first i am not a doctor i know about this because i have been through it it sounds like tonsilitis lit swollen tonsils feel under your jaw hinge for a swelling on each side if you find them its tonsilitis i ve had this a couple of times in the past the doctor prescribed a weeks course of penicillin and that cleared it up in my case it was associated with glandular fever which is a viral infection which from my point of view resembled flu and tonsilitis that kept coming back for a year or so there is a blood test for this in conclusion see a doctor if you have not done so already paul paul johnson tel ext these ideas and others like them can be had gec marconi research is not for each from any reputable idealist responsible for my opinions",66
"from keith allan schneider subject re political atheists organization california institute of technology pasadena lines nntp posting host punisher caltech edu jon livesey writes perhaps the chimps that failed to evolve cooperative behaviour died out and we are left with the ones that did evolve such behaviour entirely by chance that s the entire point are you going to proclaim a natural morality every time an organism evolves cooperative behaviour yes natural morality is a morality that developed naturally what about the natural morality of bee dance huh keith",67
"from d andrew kille subject re easter what s in a name was re new testament double stan organization netcom on line communication services guest lines daniel segard wrote a lot of stuff deleted for that matter stay biblical and call it omar rasheet the feast of first fruits torah commands that this be observed on the day following the sabbath of passover week sunday by any other name in modern parlance why is there so much objection to observing the resurrection on the st day of the week on which it actually occured why jump it all over the calendar the way easter does why not just go with the sunday following passover the way the bible has it why seek after unbiblical methods in fact that is the reason easter jumps all over the calendar passsover itself is a lunar holiday not a solar one and thus falls over a wide possible span of times the few times that easter does not fall during or after passover are because easter is further linked to the vernal equinox the beginning of spring more deletions so what does this question have to do with easter the whore goddess i am all for celebrating the resurrection just keep that whore out of the discussion your obsession with the term whore clouds your argument whore is a value judgement not a descriptive term more deletions overall this argument is an illustration of the etymological fallacy see j p louw _semantics of nt greek_ that is the idea that the true meaning of a word lies in its origins and linguistic form in fact our own experience demonstrates that the meaning of a word is bound up with how it is _used_ not where it came from very few modern people would make any connection whatsoever between easter and ishtar if daniel seagard does then for him it has that meaning but that is a highly idiosyncratic meaning and not one that needs much refutation",68
"from louis van dompselaar subject re images of earth organization utrecht university dept of computer science lines in rick turner writes look in the pub space directory on ames arc nasa gov there are a number of earth images there you may have to hunt around the subdirectories as things tend to be filed under the mission ie apollo rather than under the image subject for those of you who don t need bit i got a colour amiga iff of a cloudless earth scanned looks okay when mapped on a sphere e mail me and i ll send it you louis i m hanging on your words living on your breath feeling with your skin will i always be here in your room dm",69
"from dave weaver subject help lines in a prior article william hargreaves writes now i am of the opinion that you a saved through faith alone not what you do as taught in romans but how can i square up in my mind the teachings of james in conjunction with the lukewarm christian being spat out if you agree that good works have a role somewhere you will generally find yourself in one of two camps faith works salvation or faith salvation works either works are required for salvation or faith will inevitably result in good works i am also of the opinion that salvation is by faith alone based on ephesians and romans i also conclude that james when read in context is teaching bullet above when james speaks of justification i would claim that he is not speaking of god declaring the believing sinner innocent in his sight paul s use of the word instead he is speaking of the sinner s profession of faith being justified or proven by the display of good works also according to james the abscence of such works is evidence for a dead or useless faith which fails to save james is not a problem for the doctrine of salvation by faith if it is teaching works would have their place not as merit toward salvation but as evidence of true faith regards dave weaver he is no fool who gives what he can not keep to gain what he can not lose jim elliot there are of course a number of other possibilities the reformers believed salvation faith works some of us suspect that the three things are tied up together in such a way that no diagram of this form can do it justice clh",70
"from daniel prince subject re can men get yeast infections lines to lost boy lb i know from personal experience that men can get yeast infections i lb get rather nasty ones from time to time mostly in the area of the lb scrotum and the base of the penis i used to have problems with recurrent athlete s foot until i started drying between my toes with my blow drier after each time i bathe i also dry my pubic area while i am at it to prevent problems you might want to try it my cat types with his tail origin one world los angeles b",71
"from kent sandvik subject re slavery was re why is sex only allowed in marriage organization cookamunga tourist bureau lines in article fred rice wrote anyhow on the basis of the apparent success of islamic banks it seems to me that the statement that a zero interest economy can not survive in today s world may be a bit premature i m sure zero intested economical systems survive on a small scale co ops is not an islamic invention and we have co operatives working all around the world however such systems don t stand the corruption of a large scale operation actually nothing could handle human greed imho not even allah cheers kent alink ksand private activities on the net",72
"from geno subject re christianity and repeated lives reply to organization sun microsystems inc lines there is nothing in christianity that precludes the idea of repeated lives on earth there is a paragraph in the new testament which in my opinion clearly makes a positive inference to reincarnation i don t remember which one it is off of the top of my head but it basically goes like this jesus is talking with the apostles and they ask him why the pharisees say that before the messiah can come elijah must first come jesus replies that elijah has come but they did not recognize him it then says that the apostles perceived that he was refering to john the baptist this seems to me to clearly imply reincarnation can anyone offer a reasonable alternative interpretation i would be very interested to hear it",73
"from keith justified and ancient cochran subject re political atheists x disclaimer nyx is a public access unix system run by the university of denver for the denver community the university has neither control over nor responsibility for the opinions of users organization nyx public access unix at u of denver math cs dept lines in article keith allan schneider writes keith justified and ancient cochran writes schneider natural morality may specifically be thought of as a code of ethics that a certain species has developed in order to survive wait are we talking about ethics or morals here is the distinction important yes we see this countless times in the animal kingdom and such a natural system is the basis for our own system as well huh well our moral system seems to mimic the natural one in a number of ways please describe these number of ways in detail then explain the any contradictions that may arise in order for humans to thrive we seem to need to live in groups here s your problem we seem to need what s wrong with the highlighted word i don t know what is wrong is it possible for humans to survive for a long time in the wild yes it s possible but it is difficult humans are a social animal and that is a cause of our success define difficult and in order for a group to function effectively it needs some sort of ethical code this statement is not correct isn t it why don t you think so explain the laws in america stating that you have to drive on the right hand side of the road and by pointing out that a species conduct serves to propogate itself i am not trying to give you your tautology but i am trying to show that such are examples of moral systems with a goal propogation of the species is a goal of a natural system of morality so anybody who lives in a monagamous relationship is not moral after all in order to ensure propogation of the species every man should impregnate as many women as possible no as noted earlier lack of mating such as abstinence or homosexuality isn t really destructive to the system it is a worst neutral so if every member of the species was homosexual this wouldn t be destructive to the survival of the species for that matter in herds of horses only the dominate stallion mates when he dies is killed whatever the new dominate stallion is the only one who mates these seems to be a case of your natural system of morality trying to shoot itself in the figurative foot again the mating practices are something to be reexamined the whole theory needs to be reexamined b c d e f g k m r s t tsakc my thoughts my posts my ideas my responsibility my beer my pizza ok",74
"from brant richard ritter subject computer graphics to vcr organization lehigh university lines help my friend and i have a class project in which we are trying to make a computer animated movie of sorts with the disney animation and would like to put what we have on a vcr is this possible is it easy and relatively cheap if so how we both have ibm compatibles but are relatively clueless with computers if you could help please do thanx brant ritter moshing a cosmic cesspool of physical delight a kiedas rhcp",75
"from steve sherwood x subject re virtual reality for x on the cheap reply to organization micro focus ltd newbury england lines in article brian s ridout writes in article steve sherwood x writes has anyone got multiverse to work i have built it on svr mips svrs and sun sparcstation there seems to be many bugs in it the dogfight and dactyl simply do nothing after fixing a bug where a variable is defined twice in two different modules one needed setting to static else the client core dumped steve extn uunet mfocus sts micro focus just like pariah i have no name rm rf west street living in a blaze of obscurity rum ruff splat newbury need courage to survive the day berkshire england a bort r etry i nfluence with large hammer i built it on a rs my only motif machine works fine i added some objects into dogfight so i could get used to flying this was very easy all in all cool brian the rs compiler is so forgiving i think that if you mixed cobol pascal the c compiler still wouldn t complain steve extn uunet mfocus sts micro focus just like pariah i have no name rm rf west street living in a blaze of obscurity rum ruff splat newbury need courage to survive the day berkshire england a bort r etry i nfluence with large hammer",76
"from d m procida subject re homeopathy a respectable medical tradition reply to d m procida organization computing lab university of kent at canterbury uk lines nntp posting host eagle ukc ac uk in article gordon banks writes accepted by whom not by scientists there are people in every country who waste time and money on quackery in britain and scandanavia where i have worked it was not paid for what are most of these countries i don t believe you i am told by the person who i care a lot about and who i am worried is going to start putting his health and money into homeopathy without really knowing what he is getting into and who is the reason i posted in the first place about homeopathy that in britain homeopathy is available on the national health service and that there are about gps who use homeopathic practices true false what have there been any important and documented investigations into homeopathic principles i was reading a book on homeopathy over the weekend i turned to the section on the principles behind homeopathic medicine and two paragraphs informed me that homeopaths don t feel obliged to provide any sort of explanation the author stated this with pride as though it were some sort of virtue why am i sceptical about homeopathy is it because i am a narrow minded bigot or is it because homeopathy really looks more like witch doctory than anything else daniele",77
"from jeffrey clark subject re some thoughts keywords dan bissell nntp posting host kraken itc gu edu au organization itc griffith university brisbane australia lines dan lawrence bissell writes the book says that jesus was either a liar or he was crazy a modern day koresh or he was actually who he said he was or he was just convinced by religious fantasies of the time that he was the messiah or he was just some rebel leader that an organisation of jews built into godhood for the purpose off throwing of the yoke of roman oppression or some reasons why he wouldn t be a liar are as follows who would die for a lie are the moslem fanatics who strap bombs to their backs and driving into jewish embassies dying for the truth hint they think they are were the nazi soldiers in wwii dying for the truth people die for lies all the time wouldn t people be able to tell if he was a liar people was hitler a liar how about napoleon mussolini ronald reagan we spend millions of dollars a year trying to find techniques to detect lying so the answer is no they wouldn t be able to tell if he was a liar if he only lied about some things gathered around him and kept doing it many gathered from hearing or seeing someone who was or had been healed call me a fool but i believe he did heal people why do you think he healed people because the bible says so but if god doesn t exist the other possibility then the bible is not divinely inspired and one can t use it as a piece of evidence as it was written by unbiased observers niether was he a lunatic would more than an entire nation be drawn to someone who was crazy very doubtful in fact rediculous for example were hitler or mussolini lunatics how about genghis khan jim jones there are thousands of examples through history of people being drawn to lunatics anyone who is drawn to david koresh is obviously a fool logical people see this right away therefore since he wasn t a liar or a lunatic he must have been the real thing so we obviously can not rule out liar or lunatic not to mention all the other possibilities not given in this triad some other things to note he fulfilled loads of prophecies in the psalms isaiah and elsewhere in hrs alone this in his betrayal possibly self fulfilling prophecy ie he was aware what he should do in order to fulfil these prophecies possibly selective diting on behalf of those keepers of the holy bible for a thousand years or so before the general public had access possibly also that the text is written in such riddles like nostradamus that anything that happens can be twisted to fit the words of raving fictional prophecy and crucifixion i don t have my bible with me at this moment next time i write i will use it stuff about how hard it is to be a christian deleted i severely recommend you reconsider the reasons you are a christian they are very unconvincing to an unbiased observer jeff",78
"from wayne michael subject re xv under ms dos organization n a lines no e mail writes hi recently i found xv for ms dos in a subdirectory of gnu cc gnuish i please tell me where you where you ftp d this from i would like to have a copy of it i would have mailed you but your post indicates you have no mail address wayne michael",79
"from annick ansselin subject re is msg sensitivity superstition nntp posting host cortex physiol su oz au organization department of physiology university of sydney nsw australia lines in steve giammarco writes and to add further fuel to the flame war i read about years ago that the natural msg extracted from the sources you mention above does not cause the reported aftereffects it s only that nasty artificial msg extracted from coal tar or whatever that causes chinese restaurant syndrome i find this pretty hard to believe has anyone else heard it msg is mono sodium glutamate a fairly straight forward compound if it is pure the source should not be a problem your comment suggests that impurities may be the cause my experience of msg effects as part of a double blind study was that the pure stuff caused me some rather severe effects i was under the possibly incorrect assumption that most of the msg on our foods was made from processing sugar beets is this not true are there other sources of msg soya bean fermented cheeses mushrooms all contain msg i am one of those folx who react sometimes strongly to msg however i also react strongly to sodium chloride table salt in excess each causes different symptoms except for the common one of rapid heartbeat and an uncomfortable feeling of pressure in my chest upper left quadrant the symptoms i had were numbness of jaw muscles in the first instance followed by the arms then the legs headache lethargy and unable to keep awake i think it may well affect people differently",80
"from stephen kelley subject re should i be angry at this doctor organization purdue university svm distribution na lines in article writes am i justified in being pissed off at this doctor last saturday evening my year old son cut his finger badly with a knife i took him to a local urgent and general care clinic at pm the story deleted be bothered my son did get three stitches at the emergency room i m still trying to find out who is in charge of that clinic so i can write them a letter we will certainly never set foot in that clinic again the people in charge already know what kind of care they are providing and they don t give a rat s ass about your repeat business you are much more likely to do some good writing to local newspapers and broadcast news shows if you do keep the letter short and to the point so they don t discard it out of hand and emphasize exactly what you are upset about it s possible that the local health department can help you complain to someone official but really that clinic exists for the sole purpose of generating walk in income through advertising and nothing you can do will change them all you can hope for is to help someone else avoid them i m glad it sounds like your son did ok anyway my opinion only of course steve",81
"from jason austin subject re barbecued foods and health risk organization nasa langley research center hampton va lines reply to jason c austin nntp posting host ab larc nasa gov in reply to message of sat apr gmt in article richard silver writes some recent postings remind me that i had read about risks associated with the barbecuing of foods namely that carcinogens are generated is this a valid concern if so is it a function of the smoke or the elevated temperatures is it a function of the cooking elements wood or charcoal vs lava rocks i wish to know more thanks i ve read mixed opinions on this singed meat can contain carcinogens but unless you eat barbecued meat every meal you re probably not at much risk i think i will live life on the edge and grill my food i ve also read that using petroleum based charcoal starter can put some unwanted toxins in your food or at least unwanted odor i ve been using egg carton cups dipped in paraffin for fire starters and it actually lights faster and easier than lighter fluid several people have told me that they have excellent results with a chimney basically a steel cylinder with wholes punched in the side i ve been meaning to get one of these but one hasn t presented itself while i ve been out shopping you can make one from a coffee can but i buy my coffee as whole beans in a bag so i haven t had a big enough can laying around jason c austin",82
"from subject re hismanal et al side effects organization wright state university lines in article steve dyer writes in article writes can someone tell me whether or not any of the following medications has been linked to rapid excessive weight gain and or a distorted sense of taste or smell hismanal azmacort a topical steroid to prevent asthma vancenase hismanal astemizole is most definitely linked to weight gain it really is peculiar that some antihistamines have this effect and even more so an antihistamine like astemizole which purportedly doesn t cross the blood brain barrier and so tends not to cause drowsiness it also gave me lots of problems with joint and muscle pain seemed to trigger arthritis like problems sue steve dyer aka ima harvard rayssd linus mc spdcc dyer",83
"from schmidt subject irit to pov keywords raytracer format conversion reply to schmidt organization technische hochschule ilmenau lines nntp posting host merkur prakinf tu ilmenau de has anybody made a converter from irit s irt or dat format to pov format thanks sebastian schmidt tu ilmenau institut f praktische informatik",84
"from steve sherwood x subject re virtual reality for x on the cheap reply to organization micro focus ltd newbury england lines has anyone got multiverse to work i have built it on svr mips svrs and sun sparcstation there seems to be many bugs in it the dogfight and dactyl simply do nothing after fixing a bug where a variable is defined twice in two different modules one needed setting to static else the client core dumped steve extn uunet mfocus sts micro focus just like pariah i have no name rm rf west street living in a blaze of obscurity rum ruff splat newbury need courage to survive the day berkshire england a bort r etry i nfluence with large hammer",85
"from gregg jaeger subject re the inimitable rushdie organization boston university physics department lines in article brett j vickers writes in article gregg jaeger writes well seeing as you are not muslim the sort of fatwa issued by khomeini would not be relevant to you i can understand your fear of persecution and i share it even more than you being muslim however rushdie s behavior was not completely excusable why should a fatwa issued by khomeini be relevant to anyone who doesn t live in iran issued by khomeini it shouldn t be relevant to anyone but issued by an honest and learned scholar of islam it would be relevant to any muslim as it would be contrary to islamic law which all muslims are required to respect who is it that decides whether rushdie s behavior is excusable anyone sufficiently well versed in islamic law and capable of reasoning if you are talking about a weak sense of excuse it depends on what sense of excuse you have in mind and who cares if you think it is inexcusable only someone who thinks my opinion is important obviously obviously you don t care nor do i care that you don t care gregg",86
"from david nye subject re seizures infantile spasms organization university of wisconsin eau claire lines reply to md after many metabolic tests body structure tests and infection virus tests the doctors still do not know quite what type of siezures he is having although they do have alot of evidence that it is now pointing to infantile spasms this is where we stand right now as i know now these particular types of disorders are still not really well understood by the medical community infantile spasms have been well understood for quite some time now you are seeing a pediatric neurologist aren t you if not i strongly recommend it there is a new anticonvulsant about to be released called felbamate which may be particularly helpful for infantile spasms as for learning more about seizures ask your doctor or his nurse about a local support group david nye midelfort clinic eau claire wi this is patently absurd but whoever wishes to become a philosopher must learn not to be frightened by absurdities bertrand russell",87
"from william b dwinnell subject vesa as a graphics standard organization university of pittsburgh lines in the u ibm pc world how much of a standard has vesa become for svga graphics i know there are lots of graphics board companies out there as well as several graphics chips manufacturers are they adhering to the vesa standard and what effect is will the vesa local bus have on all of this anyone",88
"subject need help in steroid research from thomas thompson organization calif state univ electronic information services lines i am doing a term paper on steroids actually the scientist who helped crate the drug i discovered that joseph fruton is one of the researchers who helped create anabolic steroids the only information on this person i know is he was a biochemist that did research in the s i already did research at my local libraries but i still need more information my instructor is requiring resources from the computer networks please write back concerning my subject any books articles etc will be appreciated",89
"subject vonnegut atheism from until kings become philosophers or philosophers become kings organization utexas mail to news gateway nntp posting host cs utexas edu lines yesterday i got the chance to hear kurt vonnegut speak at the university of new hampshire vonnegut succeeded isaac asimov as the honorary head of the american humanist association vonnegut is an atheist and so was asimov before asimov s funeral vonnegut stood up and said about asimov he s in heaven now which ignited uproarious laughter in the room from the people he was speaking to around the time of the funeral it s the funniest thing i could have possibly said to a room full of humanists vonnegut said at yesterday s lecture if vonnegut comes to speak at your university i highly recommend going to see him even if you ve never read any of his novels in my opinion he s the greatest living humorist greatest living humanist humorist as well peace dana",90
"from c mierzanowski subject which video card please help organization info sci eng university of canberra australia lines i ve got a hz computer which is under warranty and my trident c video card is starting to play up surprise surprise therefore i m going to try to exchange it for a better card the big question is which video card is high quality and with an acceptable price tag on student budget thank you in advance",91
"from edward bolson subject sphere from points organization university of washington seattle lines distribution world nntp posting host carson u washington edu boy this will be embarassing if it is trivial or an faq given points non coplanar how does one find the sphere that is center and radius exactly fitting those points i know how to do it for a circle from points but do not immediately see a straightforward way to do it in d i have checked some geometry books graphics gems and farin but am still at a loss please have mercy on me and provide the solution thanks ed ed bolson university of washington cardiovascular research preferred if you must",92
"from joseph dale fisher subject re sin organization indiana university lines sorry for taking this off of sharon s resp but i d also like to add some more verses to that and perhaps answer the second q verses corinthians colossians as for knowing when that s a bit tricky people normally have consciences which warn them about it however as in my case a conscience can be hardened by sin s deceitfulness hebrews so that the person has no idea or doesn t care about it that they are sinning of course there are those sins which we do when we don t know that they re sinful to begin with those take searching and examining of scripture to find out that they are sinful and then repent and change the best question to ask in every circumstance to judge sinful possibilities is would jesus wholeheartedly do this at this point in time i know it sounds like a cop out but it truly is a stifling question joe fisher oh i missed one john",93
"from marcel wijkstra aio subject re bw hardcopy of colored window keywords color hardcopy print nntp posting host ic fwi uva nl organization fwi university of amsterdam lines martin stein writes i use xwd xpr from the xr dist and various programs of the ppm tools to print hardcopies of colored x windows my problem is i don t like xpr it gives at least the xr version does louzy output the hardcopy looks very grainy to me instead i use pnmtops this takes full advantage postscript and lets the printer do the dirty job of dithering a graylevel image to black and white dots so if you have a postscript printer try xwdtopnm convert to ppm ppmtopgm to graylevel for smaller file to print pnmtops noturn to postscript lpr print pnmtops has several neat options but use them with care if you want your image to be wide use pnmtops noturn scale width noturn prevents the image from being rotated if it is wider than it is high width specifies the paper width not the image width see below scale is used because if the image is small it may fit within a width less than and will thus be printed smaller than wide if you first scale it up a lot it will certainly not fit in and will be scaled down by pnmtops automatically to fit the specified paper width in short pnmtops will scale an image down to fit the paper size but it will not blow it up automatically hope this helps marcel x marcel wijkstra aio x faculty of mathematics and computer science x university of amsterdam the netherlands life stinks fortunately i ve got a cold",94
"from keith allan schneider subject re pompous ass organization california institute of technology pasadena lines nntp posting host punisher caltech edu jon livesey writes the little things above were in reference to germany clearly people said that there were similar things in germany but no one could name any that s not true i gave you two examples one was the rather pevasive anti semitism in german christianity well before hitler arrived the other was the system of social ranks that were used in imperail germany and austria to distinguish jews from the rest of the population these don t seem like little things to me at least they are orders worse than the motto do you think that the motto is a little thing that will lead to worse things keith",95
"from joseph o rourke subject re fast polygon routine needed keywords polygon needed organization smith college northampton ma us lines in article lucas adamski writes this may be a fairly routine request on here but i m looking for a fast polygon routine to be used in a d game a fast polygon routine to do what",96
"from steve dyer subject re good grief was re candida albicans what is it organization s p dyer computer consulting cambridge ma in article jon noring writes there is no convincing evidence that such a disease exists there s a lot of evidence it just hasn t been adequately gathered and published in a way that will convince the die hard melancholic skeptics who quiver everytime the word anecdote or empirical is used snort ah there go my sinuses again for example dr ivker who wrote the book sinus survival always gives oh wow a classic textbook hey they laughed at einstein too before any other treatment a systemic anti fungal such as nizoral to his new patients if they ve been on braod spectrum anti biotics or more times in the last two years he s kept a record of the results and for over patients found that over of his patients get significant relief of allergic sinus symptoms of course this is only the beginning for his program yeah i ll bet tomorrow the world listen uncontrolled studies like this are worthless in my case as i reported a few weeks ago i was developing the classic symptoms outlined in the yeast connection i agree it is a poorly written book e g extreme sensitivity to plastics vapors etc which i never had before started in november within one week of full dosage of sporanox the sensitivity to chemicals has fully disappeared i can now sit on my couch at home without dying after two minutes i m also greatly improved in other areas as well i m sure you are you sound like the typical hysteric hypochondriac who responds to miracle cures of course i have allergy symptoms etc i am especially allergic to molds yeasts etc it doesn t take a rocket scientist to figure out that if one has excessive colonization of yeast in the body and you have a natural allergy to yeasts that a threshold would be reached where you would have perceptible symptoms yeah it makes sense to me so of course it should be taken seriously snort also yeast do produce toxins of various sorts and again you don t have to be a rocket scientist to realize that such toxins can cause problems in some people yeah it sounds reasonable to me of course the question is whether a person who is immune compromised as tests showed i was from over years of antibiotics nutritionally deficiencies because of the stress of infections and allergies etc oh really _what_ tests immune compromised my ass more like credulous malingerer this is a psychiatric syndrome can develop excessive yeast colonization somewhere in the body it is a tough question to answer since testing for excessive yeast colonization is not easy one almost has to take an empirical approach to diagnosis fortunately sporanox is relatively safe unlike past anti fungals still have to be careful however so there s no reason any longer to withhold sporanox treatment for empirical reasons you know it s a shame that a drug like itraconazole is being misused in this way it s ridiculously expensive and potentially toxic the trouble is that it isn t toxic enough so it gets abused by quacks btw some would say to try nystatin unfortunately most yeast grows hyphae too deep into tissue for nystatin to have any permanent affect you ll find a lot of people who are on nystatin all the time the only good thing about nystatin is that it s relatively cheap and when taken orally non toxic but oral nystatin is without any systemic effect so unless it were given iv it would be without any effect on your sinuses i wish these quacks would first use iv nystatin or amphotericin b on people like you that would solve the yeast problem once and for all in summary i appreciate all of the attempts by those who desire to keep medicine on the right road but methinks that some who hold too firmly to the party line are academics who haven t been in the trenches long enough actually treating patients if anybody doctors included said to me to my face that there is no evidence of the yeast connection i can not guarantee their safety for their incompetence ripping off their lips is justified as far as i am concerned perhaps a little haldol would go a long way towards ameliorating your symptoms are you paying for this treatment out of your own pocket i d hate to think my insurance premiums are going towards this steve dyer aka ima harvard rayssd linus mc spdcc dyer",97
"from john s muller subject wayne rigby organization state university of new york at stony brook lines distribution world nntp posting host csws ic sunysb edu sorry to clog up the news group with this message wayne rigby i have the info you requested but for some reason i can not mail it to you please contact me send email address j no real programmer can function without caffeine zen art of internet _ _ _ _ _ _ _ _ _ _ _ _ _ _ john s muller _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ you are not drunk until you have to grab the grass to keep the grass from falling off the earth some stupid comedian",98
"from robert beauchaine subject re pompous ass organization tektronix inc beaverton or lines in article keith allan schneider writes the little things above were in reference to germany clearly people said that there were similar things in germany but no one could name any they said that these were things that everyone should know and that they weren t going to waste their time repeating them sounds to me like no one knew either i looked in some books but to no avail if the anne frank exhibit makes it to your small little world take an afternoon to go see it bob beauchaine they said that queens could stay they blew the bronx away and sank manhattan out at sea",99
"from mathew subject re university violating separation of church state organization mantis consultants cambridge uk x newsreader rusnews v lines until kings become philosophers or philosophers become kings writes recently ras have been ordered and none have resisted or cared about it apparently to post a religious flyer entitled _the soul scroll thoughts on religion spirituality and matters of the soul_ on the inside of bathroom stall doors at my school the university of new hampshire it is some sort of newsletter assembled by a hall director somewhere on campus it poses a question about spirituality each issue and solicits responses to be included in the next issue it s all pretty vague i assume it s put out by a christian but they re very careful not to mention jesus or the bible i ve heard someone defend it saying well it doesn t support any one religion so what this is a state university and as a strong supporter of the separation of church and state i was enraged what can i do about this it sounds to me like it s just screaming out for parody give a copy to your friendly neighbourhood subgenius preacher with luck he ll run it through the mental mincer and hand you back an outrageously offensive and gut bustingly funny parody you can paste over the originals i can see it now the stool scroll thoughts on religion spirituality and matters of the colon you can use this text to wipe mathew",100
"from len howard subject re can sin block our prayers organization pegasus honolulu lines in article jayne kulikauskas writes mike mccormick writes not honoring our wives can cause our prayers to be hindered prayers may not be hindered i peter one interpretation i ve heard of this verse is that it refers to the sin of physically abusing one s wife the husband is usually physically stronger than his wife but is not permitted to use this to dominate her he must honor her as his sister in christ this would therefore be an example of a specific sin that blocks prayer jayne kulikauskas i would be a bit more specific in looking at this verse in regard to blocking prayer i have trouble thinking that god would allow anything to block our access to him in prayer especially if we have sinned and are praying for forgivenenss i can see however how our prayer life might be hindered by our sin if we are concentrating on what is causing the sin or what has happened we may not be thinking about prayer thus our prayers are hindered by our own actions but i don t think anything can block the transmission or reception of prayer to god shalom len howard",101
"from subject re where are they now organization macalester college lines in article tom bruno writes wow leave your terminal for a few months and everyone you remember goes away how depressing actually there are a few familiar faces out there counting bob and kent but i don t seem to recognize anyone else has anyone heard from graham matthews recently or has he gotten his degree and sailed for greener pastures tm which brings me to the point of my posting how many people out there have been around alt atheism since i ve done my damnedest to stay on top of the newsgroup but when you fall behind you really fall behind it s still not as bad as rec arts startrek used to be but i digress has anyone tried to keep up with the deluge inquiring minds want to know also does anyone keep track of where the more infamous posters to alt atheism end up once they leave the newsgroup just curious i guess cheers tom bruno i am one of those people who always willl have unlimited stores of unfounded respect for people who have been on newsgroups mailing lists longer than i have so you certainly have my sympathy tom i have only been semi regularly posting it is toughto keep up since this february but i have been reading and following the threads since last august my school s newsreader was down for months and our incompetent computing services never bothered to find a new feed site so it wasn t accepting outgoing postings i don t think anyone keeps track of where other posters go it s that old love em and leave em internet for you again best regards adam john cooper verily often have i laughed at the weaklings who thought themselves good simply because they had no claws",102
"from m bruncati subject re smoker s lungs article i d cbnewsj apr distribution na organization at t lines in article writes how long does it take a smoker s lungs to clear of the tar after quitting does your chances of getting lung cancer decrease quickly or does it take a considerable amount of time for that to happen seems to me that i read in either a recent ny times science times or maybe it was science news that there is evidence that ex smoker s risk of lung cancer never returns to that of a person who has never smoked i think it may get close i ll find the article and post it since my memory is hazy on the specifics if you are interested michael",103
"from boundary subject re atheist s views on christianity was re accepting jeesus in your heart organization georgia institute of technology lines in article jason smith writes in article petri pihko writes this is not true science is a collection of models telling us how not why something happens i can not see any good reason why the why questions would be bound only to natural things assuming that the supernatural domain exists if supernatural beings exist it is as appropriate to ask why they do so as it is to ask why we exist i beg to disagree with the assertion that science is a collection of models scientific models are a game to play and are only as good as the assumptions and measurements if any that go into them as an example i remember when nuclear winter was the big hype in atmospheric science it wasn t long after sagan s admonitions that one of our boys was adding another level of reality into his model of the nuclear winter scenario at erl in boulder he decided to assume that the atmosphere is more like a two dimensional thing than a one dimensional thing he also assumed that it rained and that the winds blow in the real atmosphere on returning to georgia tech he showed a transparency of atmospheric cooling rates according to the year they were generated by the models there was an unmistakable correlation between the age meaning simplicity of assumptions i e remoteness from reality of each model and the degree of cooling whereas sagan s model showed an approximate degree cooling episode the next model in sophistication showed about half that and so on until we got to our boy s model which showed a degree drop if the war happened in the winter and less than a degree drop if it happened in the summer he predicted that when we would include the presence of oceans chemistry the biosphere and other indicators of reality in the models we would probably see even less cooling thus nuclear winter was reduced to even less than a nuclear autumn one might say to a nuclear fizzle to quote from h s yoder the postulated models have become accepted as the reality instead of the lattice of assumptions they are authoritarianism dominates the field and a very critical analysis of each argument is to be encouraged skepticism of the model approach to earth problems is warranted because many key parameters have not been included this statement surely applies equally well to cosmogony only when convincing observational evidence substantiates the modeled results may one suggest that the model may describe the reality just thought i d clear that up before things really got out of hand boundary no teneis que pensar que yo haya venido a traer la paz a la tierra no he venido a traer la paz sino la guerra mateo vulgata latina",104
